member_id,age,gender,balance,health_status,consumption_level
1,65,M,128000,fair,comfortable
2,65,M,180000,good,modest
3,65,F,257000,good,comfortable
4,65,M,1069000,good,modest
5,66,M,856000,fair,comfortable
6,70,M,132000,fair,comfortable
7,67,M,291000,good,modest
8,65,F,61000,fair,modest
9,65,F,278000,good,comfortable
10,66,F,201000,fair,comfortable
11,65,F,99000,good,comfortable
12,66,M,312000,poor,modest
13,65,F,172000,fair,comfortable
14,65,F,27000,fair,modest
15,66,F,284000,good,comfortable
16,66,F,29000,poor,modest
17,65,F,60000,fair,modest
18,67,M,539000,good,modest
19,69,F,108000,poor,comfortable
20,66,F,247000,good,modest
21,69,F,128000,good,comfortable
22,66,F,122000,good,modest
23,67,F,85000,good,comfortable
24,69,F,41000,good,modest
25,67,M,167000,fair,modest
26,66,F,119000,fair,comfortable
27,65,M,161000,fair,modest
28,66,F,126000,good,comfortable
29,69,F,164000,poor,comfortable
30,69,M,405000,good,modest
31,65,F,25000,good,modest
32,70,M,283000,good,modest
33,67,M,269000,good,comfortable
34,69,F,65000,fair,comfortable
35,65,F,349000,fair,comfortable
36,67,F,265000,good,comfortable
37,66,F,224000,good,comfortable
38,66,F,62000,good,comfortable
39,69,M,159000,fair,comfortable
40,70,M,429000,fair,comfortable
41,65,F,36000,good,comfortable
42,65,M,276000,good,comfortable
43,65,M,173000,good,comfortable
44,65,M,493000,good,modest
45,69,F,639000,fair,comfortable
46,65,F,342000,good,modest
47,69,M,137000,good,comfortable
48,70,M,409000,fair,modest
49,69,M,187000,fair,modest
50,65,F,431000,fair,comfortable
51,67,M,572000,good,comfortable
52,66,M,292000,good,comfortable
53,67,F,188000,fair,comfortable
54,65,F,224000,good,comfortable
55,66,M,121000,good,modest
56,66,F,827000,good,comfortable
57,65,F,114000,fair,modest
58,65,F,96000,fair,modest
59,66,F,208000,fair,comfortable
60,65,M,93000,fair,modest
61,67,F,29000,good,modest
62,65,M,1214000,good,comfortable
63,70,F,155000,good,comfortable
64,68,F,779000,fair,comfortable
65,67,M,194000,good,comfortable
66,67,M,273000,good,modest
67,66,F,162000,good,comfortable
68,65,M,147000,good,modest
69,69,F,235000,fair,comfortable
70,65,F,56000,fair,comfortable
71,68,F,181000,good,modest
72,65,F,65000,good,modest
73,65,F,184000,good,comfortable
74,67,F,50000,good,modest
75,66,F,298000,fair,comfortable
76,65,F,459000,fair,comfortable
77,65,M,32000,fair,modest
78,68,M,52000,fair,modest
79,70,M,79000,poor,modest
80,65,M,472000,good,comfortable
81,67,M,415000,good,comfortable
82,66,F,545000,fair,comfortable
83,70,M,29000,good,modest
84,68,F,341000,good,comfortable
85,65,F,302000,good,comfortable
86,69,F,236000,good,comfortable
87,68,F,139000,fair,comfortable
88,68,F,64000,fair,modest
89,66,M,224000,fair,modest
90,65,M,129000,good,modest
91,68,M,107000,good,comfortable
92,67,M,138000,good,modest
93,65,F,162000,poor,comfortable
94,65,M,667000,poor,comfortable
95,66,F,594000,fair,comfortable
96,67,F,174000,poor,modest
97,67,M,378000,good,modest
98,69,F,249000,fair,comfortable
99,65,F,205000,good,modest
100,66,F,186000,good,comfortable
101,66,M,716000,fair,comfortable
102,67,F,2075000,fair,modest
103,66,F,385000,good,modest
104,67,M,869000,good,modest
105,66,F,102000,good,comfortable
106,67,M,301000,good,comfortable
107,67,F,343000,fair,comfortable
108,65,F,103000,fair,comfortable
109,67,F,467000,good,modest
110,70,F,109000,poor,comfortable
111,66,M,92000,fair,comfortable
112,65,M,621000,good,comfortable
113,70,F,189000,good,comfortable
114,65,M,191000,fair,modest
115,66,M,22000,poor,modest
116,66,M,830000,poor,comfortable
117,68,F,161000,good,modest
118,70,M,201000,good,modest
119,67,M,184000,good,comfortable
120,65,M,793000,fair,comfortable
121,68,M,968000,good,comfortable
122,69,M,609000,good,comfortable
123,66,M,276000,good,comfortable
124,67,F,779000,fair,comfortable
125,66,F,660000,poor,modest
126,67,F,305000,good,comfortable
127,66,M,120000,good,modest
128,68,M,1005000,good,comfortable
129,66,F,88000,good,comfortable
130,67,M,76000,good,comfortable
131,66,M,92000,good,modest
132,67,M,88000,fair,comfortable
133,67,F,142000,good,comfortable
134,66,M,369000,fair,comfortable
135,68,M,1784000,fair,modest
136,67,F,227000,good,comfortable
137,65,F,1427000,good,comfortable
138,65,M,569000,fair,comfortable
139,65,F,53000,good,modest
140,67,F,295000,fair,comfortable
141,65,F,489000,good,modest
142,69,M,119000,good,comfortable
143,66,F,51000,fair,comfortable
144,66,M,327000,good,modest
145,66,F,103000,poor,comfortable
146,67,F,102000,good,modest
147,66,M,430000,fair,modest
148,65,M,51000,good,comfortable
149,65,F,368000,good,comfortable
150,69,F,77000,good,modest
151,65,M,109000,good,modest
152,67,M,440000,fair,comfortable
153,66,F,160000,poor,modest
154,66,F,272000,poor,modest
155,67,F,57000,fair,modest
156,70,F,164000,fair,modest
157,69,M,594000,fair,modest
158,65,F,93000,good,modest
159,67,F,118000,poor,modest
160,65,M,644000,fair,comfortable
161,65,F,74000,fair,comfortable
162,70,M,264000,fair,modest
163,65,M,83000,fair,comfortable
164,70,M,785000,fair,modest
165,68,M,129000,fair,modest
166,65,F,602000,good,modest
167,65,M,342000,good,modest
168,68,F,426000,good,modest
169,67,F,221000,fair,modest
170,65,F,240000,good,modest
171,66,M,273000,good,comfortable
172,66,F,87000,good,modest
173,68,F,64000,fair,modest
174,68,M,274000,fair,modest
175,65,F,36000,fair,comfortable
176,65,M,431000,fair,comfortable
177,66,F,101000,good,modest
178,66,F,415000,fair,comfortable
179,65,M,100000,fair,comfortable
180,65,M,494000,fair,comfortable
181,69,F,200000,fair,comfortable
182,65,M,58000,good,modest
183,66,F,85000,good,comfortable
184,69,F,675000,good,comfortable
185,68,M,662000,fair,comfortable
186,66,F,61000,good,modest
187,66,F,122000,good,modest
188,66,F,78000,fair,comfortable
189,65,F,225000,fair,comfortable
190,69,M,107000,good,modest
